,text,depression_level
377,"Odio mi existencia, que lamentable es.",1 star
378,"No me siento querida, tengo un vacío en mi pecho, ganas de sentirme amada por mi familia y apreciada, pero no hago… EXTERNAL_LINK",2 stars
379,"Que pare de doler. Por favor, por favor, por favor.",1 star
380,"Tenia planeado hablar con alguien para desahogarme hoy, pero termine llorando sola porque todos pasan de mi.",5 stars
381,"No puedo hablar de amor propio, yo no tengo eso",1 star
382,"Tengo mil ganas de cortarme, de llorar, de dejar de existir, que agonía tener este sentimiento desde hace casi 5 años.",1 star
383,Mi mundo se esta desmoronando y ya no tengo fuerzas como para armarlo.,1 star
384,"No saben cuanto quisiera largarme de esta casa y no volverlos a ver en mi vida, esta ya no es mi familia, ya no quiero vivir aquí.",1 star
385,"Pierdo todas mis energías para todo. A veces me pregunto si es que alguien en absoluto me conoce, si alguien sabe en realidad quien soy.",1 star
386,"Me odio, odio cada parte de mi ser.",5 stars
387,"Emocionalmente: Ya no puedo más. 
Mentalmente: Estoy agotada. 
Espiritualmente: Estoy muerta.
Físicamente: Sonrió",1 star
388,"Mi vida es como un cubo de rubik, arreglas un lado, y se arruinan todos los demás.",1 star
389,NO SABEN CUANTO ODIO ESTAR VIVA.,5 stars
390,"Porque hay días que tu mejor opción es irte a dormir. Durmiendo las cosas no pesan, no duelen, no cansan. 

Dormir repara.",1 star
391,"Ni te imaginas lo que es sentirse sola, y no poder decirle a nadie que estas muriendo por dentro.",1 star
392,"NO SABEN CUANTO QUISIERA NO ESTAR ENFERMA, NO SABEN CUANTO QUISIERA QUE TODO ESTO ACABARÁ YA..",2 stars
393,"Tengo ganas de gritar, llorar, de desahogarme con alguien que me entienda.",1 star
394,No estoy comiendo bien tampoco durmiendo bien; mucho menos estoy haciendo las cosas bien simplemente no estoy funcionando.,2 stars
395,"No, no estoy bien. Pero no lo he estado desde los 12, quizás 13. Sin embargo todavía estoy aquí. Todavía sigo respi… EXTERNAL_LINK",2 stars
396,"Hoy discutí con mi madre y sólo decía cosas malas de mi, sólo lo malo. Me quede callada, escuche y no paraba de llo… EXTERNAL_LINK",3 stars
397,"Querido diario: 

Estoy cansada del mundo, cansada de fingir que todo va bien, quiero irme de este lugar. El mundo es una puta mierda.",1 star
398,Existen cosas que duelen en mi interior y nadie las puede notar.,5 stars
399,"las personas no mueren por suicidio, ellas mueren por tristeza.",1 star
400,"Es que no me siento mal, es que no me siento bien, es que ya no siento nada.",2 stars
401,"Sabes q estás mal cuando ya nada te sorprende, cuando ya no quieres salir ni hacer vida social, cuando todo a tu al… EXTERNAL_LINK",1 star
402,"Ya he perdido todo, las ganas de comer, de dormir, de ser feliz e incluso de llorar. He perdido las ganas de vivir.",5 stars
403,Que se supone que se debe hacer cuanto ya no tienes ganas de nada? Cuando ni dormir funciona? Cuando estas cansada… EXTERNAL_LINK,1 star
404,"Me siento tan sola y vacía que estoy colocando en juego mi estabilidad, aquella balanza que me mantiene fuera del c… EXTERNAL_LINK",1 star
405,Necesito desaparecer para siempre.,5 stars
406,Sólo quiero terminar con mi existencia.,1 star
407,Cada vez tengo más ganas de morirme.,1 star
408,Solo quiero dormir.,1 star
409,Me doy asco.,4 stars
410,"Mi vida esta llena de errores, empezando por mi.",2 stars
411,Es difícil dormir cuando la mente no se calla...,2 stars
412,No valgo para ser feliz.,2 stars
413,Me siento tan solo...,1 star
414,Cada vez tengo más ganas de morirme.,1 star
415,Sentimiento constante de querer alejar a las personas que más amo de mí porque lo único que puedo aportar es negatividad y tristeza.,1 star
416,"No puedo entender cómo, pero mi vida cada día es más mierda.",2 stars
417,"Estoy cada vez peor y no tengo a nadie con quien hablar. Siento que aún si no quisiera matarme, no me quedaría otra… EXTERNAL_LINK",1 star
418,"Todo el mundo entrenando, que vida fácil que tienen lpm quién me mandó a tener depresión",5 stars
419,"Nada nunca va a mejorar toda la mierda que es mi vida y mi cabeza. Los odio a todos por poder estar bien, esa es la… EXTERNAL_LINK",5 stars
420,Las ganas de bajarme una caja de Clonazepam entera que tengo son incontrolables!!!!!! Lo necesito,1 star
421,HARTA de comer mal y estar tirada en la cama. Qué horrible es vivir,1 star
422,"Lo que más más más deseo en mi vida, es suicidarme. No importa cuándo, quiero ser yo la que toma la decisión sobre… EXTERNAL_LINK",1 star
423,"Cómo me gustaría que en vez de regalarme algo para mi cumpleaños que me ponga contenta sólo por un tiempo, les impo… EXTERNAL_LINK",5 stars
424,"Qué envidia que le tengo siempre a toda la gente, todo el tiempo por algo. Me muero por ser cualquier persona menos… EXTERNAL_LINK",5 stars
425,La depresión es el mejor asesino para todo suicida.,5 stars
426,"¿Que sientes?
—Un vacío en mi vida.",1 star
427,"¿Porqué es tan difícil quererse a uno mismo? Veo a otras personas tan perfectas y yo, yo doy asco.",5 stars
428,Ya casi terminando él año y con una muy profunda cicatriz y una semana en el hospital,1 star
429,"Soy el sarcasmo, inestabilidad y depresión hecha ser humano.",1 star
430,Vencer a mi mente es un trabajo de todos los malditos días... Ella tiene control sobre mi,5 stars
431,El alimento de la depresión son aquellas tristezas diarias.,1 star
432,"no son días, ni semanas, ni meses que hace que me siento tan mal que no puedo soportarme a mi misma.son años y ya siento que estoy al límite",1 star
433,"No quiero estar sola, pero el mero hecho de mi existencia repele a las personas y las aleja de mi.",2 stars
434,"Maldita depresión, ¿por qué no me dejas en paz?",1 star
435,"Me cuesta mucho animarme a hacer algo, lo que sea.",3 stars
436,"mi depresion consta de dos partes, la ”tristeza absoluta” en la que busco ayuda, o la ”yo me quiero morir”",1 star
437,Me levante queriendo que el día acabara ya.,1 star
438,"La vida es una puta mierda a veces y ya está, sin explicación alguna.",2 stars
439,Cuántas veces he caminado por multitud de gente y me hacen sentir sola.,5 stars
440,Para estas fechas empezó mi infierno hace ya algún tiempo.,5 stars
441,"Hay días en los que me siento perfecta y que nadie puede conmigo…
Pero de repente algo pasa y me hace sentir como la más patética de todos",3 stars
442,"Pase tanto tiempo sin estar aqui, creí que había empezado a estar bien, pero me equivoqué",2 stars
443,"Deprimida, sola, auto destructiva. Diganme quien quisiera estar a mi lado",1 star
444,"Cada vez me siento mas sola, mas perdida, mas muerta",2 stars
445,"De nuevo lagrimas, de nuevo insomnio, de nuevo estoy hecha mierda.",1 star
446,Me pone nerviosa estar en un lugar y que se me queden viendo,2 stars
447,Es imposible estar bien,1 star
448,Es increíble como puedo estar riéndome y a los 5 minutos llorando.,5 stars
449,"Un solo dia quiero estar bien, ¿tanto pido?",5 stars
450,Dormir... Para siempre,5 stars
451,SOY UN ESTORBO EN TODOS LADOS,1 star
452,"Quiero llorar.
Quiero desaparecer.
Irme.
No ser yo.",1 star
453,No sé cómo pedir ayuda.,1 star
454,"Día triste.
He vuelto a caer.",1 star
455,Estoy muy cansada de todo.,1 star
456,"Quiero ir y decirle a alguien todo lo que me pasa, pero no puedo",3 stars
457,"Siento que mi vida ya carece de sentido. Mis amigos me cambian, mi familia no me quiere ... Estoy sola",2 stars
458,"Todo me sale tan mal...
Es como magia",1 star
459,Yo no elegí vivir y menos aún hacerlo así.,1 star
460,No se porqué todo me sale tan mal. No creo merecerlo.,1 star
461,Tan cansada como siempre,1 star
462,Me siento completamente vacía y no sé de dónde viene ese vacío.,1 star
463,Si la vida es sufrimiento no quiero vivir,1 star
464,El ataque de ansiedad no es por la camiseta sólo es que llevo guardándome todo el dolor y malestar quee siento desde hace semanas,5 stars
465,Estoy harta. Ya me ha dado el bajón grande. He estado bien unos días y ahora me encuentro fatal. Y siempre es la mi… EXTERNAL_LINK,1 star
466,La medicación la lleva la psiquiatra pero si yo me siento mal la psicóloga se lo dice.,3 stars
467,Ojalá morirme ahora mismo.,1 star
468,Ya puedo respirar y he dejado de hiperventilar bendito diazepam,1 star
469,"Me estoy agobiando mucho porque siento que no estoy, me estoy mirando en un espejo y siento que no estoy.",1 star
470,"No dejo de pensar que no merezco hablar con psicólogos y hacer terapia porqué hay gente que está peor, y siento que… EXTERNAL_LINK",2 stars
471,Me he tomado un diazepam y mi medicación y me cuesta respirars,1 star
472,Yo no sé qué me pasa que últimamente estoy como que no sé qué día es y no recuerdo si lo que he hecho a sido un sue… EXTERNAL_LINK,1 star
473,Hacía meses que no me daba un ataque así,2 stars
474,Últimamente me siento súper rara porqué se me mezclan mucho los sueños con la vida real y estoy como perdida¿?,2 stars
475,Estoy llorando agobiada y ni siquiera sé porqué pero me encuentro mal.,2 stars
476,"Ustedes también se pasan todo el día encerrados en su habitación porque no tienen ganas de nada, ni siquiera de jun… EXTERNAL_LINK",1 star
477,"Nunca voy a olvidar cómo estaba mi mamá la primera vez que me intenté suicidar, la desesperación que tenía. No le p… EXTERNAL_LINK",1 star
478,"No le encuentro sentido a la vida, no le encuentro sentido a nada. No sé qué mierda me pasa ni como salir de esta s… EXTERNAL_LINK",1 star
479,"Con la depresión y ganas de morir que tengo no sé de dónde mierda voy a sacar energías para estudiar este año, dese… EXTERNAL_LINK",5 stars
480,"vivo deprimida y con ganas de morir, no se que espero para suicidarme",1 star
481,No le encuentro sentido a la vida,1 star
482,no estoy bien,2 stars
483,Esto no se puede llamar vida si todos los días me acuesto deseando no despertar más,1 star
484,Se escribe depresión y se pronuncia me quiero morir,1 star
485,me quiero morir,1 star
486,No quiero salir de mi casa.,1 star
487,"No importa lo que haga, nada me hace feliz, nada me emociona.",1 star
488,La mayor parte del tiempo me siento un estorbo.,2 stars
489,"Mi mente esta pensando en un montón de cosas TODO el tiempo, es imposible dejar de pensar.",5 stars
490,Me duele muchisimo el cuerpo.,5 stars
491,Todo sería mejor si pudiera dejar de pensar tanto.,3 stars
492,No hago absolutamente nada bien.,1 star
493,Cada día que pasa tengo menos ganas de existir.,2 stars
494,Ya me deprimí.,2 stars
495,"Tengo tan poca energía hoy, que me fui a bañar y me quedé 10 min en la ducha mirando a la pared hasta que junte fuerzas para salir.",1 star
496,Hoy fui a la psicóloga y no me puse a llorar. Creo que estoy haciendo un progreso.,5 stars
497,Estoy tan agotado emocionalmente y lo único que quiero es dormir,1 star
498,"a veces me agarran ataques de llorar así de repente, sin motivo alguno",3 stars
499,últimamente todo me afecta,5 stars
500,me gustaría desaparecer por un rato,3 stars
501,no encajo en ningún lugar,1 star
502,últimamente siento como que todos están mejor sin mi,5 stars
503,que bajón ser yo,5 stars
504,"hay veces en las que estoy muy sensible, cualquier cosa me derrumba y todo me da ganas de llorar",5 stars
505,"últimamente todo me cansa, todo me estresa, todo me afecta, odio ser tan sensible MIERDA",1 star
506,"vivo llorando y sintiéndome mal por lo mismo, y siento que no puedo hablarlo con nadie",5 stars
507,¿alguna vez has sentido que estorbas en tu familia?,1 star
508,me pongo a pensar todas las cosas que hice mal y me quiero matar,1 star
509,"mi vida se basa en llorar, porque todo es una mierda siempre",5 stars
510,"Todo el mundo divirtiendose en los carnavales y yo en mi habitacion estudiando, ¿puedo suicidarme ya?",5 stars
511,Ya estoy llorando como una tonta.,5 stars
512,Parece que la gente se ha puesto de acuerdo en hacerme daño cuando recaigo.,3 stars
513,"Presiento que se va a ir todo a la mierda de nuevo, pero con más intensidad incluso, y quizas de ahi ya no se pueda… EXTERNAL_LINK",2 stars
514,"No tengo un bajon ni estoy triste profe, solo estoy al borde del suicidio y queriendo llorar; pero tranquila, sigue sin importar.",5 stars
515,Los pensamientos suicidas no desaparecen de nuevo de mi cabeza.,1 star
516,Me paso el dia deprimida y triste y las noches llorando hecha una bolita y sin hacer ruido.,1 star
517,Cada vez que me da el bajon solo tengo ganas de dormir.,2 stars
518,"No valgo una puta mierda en ninguna parte, nadie me tiene en cuenta en ningun lado tampoco.",1 star
519,Podria desaparecer durante semanas y nadie se daria cuenta ni a nadie le importaria.,1 star
520,Me esta entrando una ansiedad de nuevo.,1 star
521,"Quiero irme, lejos, y no volver nunca, desaparecer.",1 star
522,Creo que me he pasado toda la vida sola.,5 stars
523,Durmiendo casi no se nota que soy un desastre.,1 star
524,"Cuando estás viviendo en un precipicio emocional, hasta la cosa más pequeña afecta en proporciones mucho más grandes de lo que debería ser.",2 stars
525,"No debería sentirme culpable en los días que no estoy bien emocional y psicológicamente para hacer algo productivo,… EXTERNAL_LINK",2 stars
526,Vida de mierda.,5 stars
527,"Aquí iniciando la semana con ganas de morirme, como para no perder la costumbre.",5 stars
528,No es tristeza. Es aquella extraña sensación de no sentir más nada.,1 star
529,"La gente cree que la depresión es una tristeza profunda, pero en realidad no lo es, por el contrario, es una ansied… EXTERNAL_LINK",2 stars
530,Mi victoria de hoy fue levantarme de la cama.,5 stars
531,Estoy un poco cansado de ser mi peor enemigo.,3 stars
532,Feliz día a mi depresión e insomnio. Ya hasta los quiero.,5 stars
533,"Toda una vida resumida en sentirse incómodo en todos los lugares posibles, excepto mi cama o en donde nadie me moleste.",5 stars
534,Mi vida va de mal en peor,1 star
535,Volví a recaer una vez más.,1 star
536,"Tengo tanto dolor guardado dentro de mi, y no encuentro la forma de poder seguir adelante y dejar todo esto atrás.",1 star
537,Estoy echa mierda. No puedo seguir con todo esto.,1 star
538,Vuelvo a encotrarme en este sitio oscuro,5 stars
539,Sueño con tomar una caja de pastillas. EXTERNAL_LINK,1 star
540,NO PUEDO MÁS,1 star
541,"De mal a peor, siempre...",1 star
542,"ME ODIO, ODIO TODO DE MI. SÓLO QUIERO MORIR.",5 stars
543,"La noche, este vacío, este agujero que siento dentro. Estás lágrimas, que cuentan su propia historia.",5 stars
544,al parecer nunca voy a superar esta mierda.,1 star
545,Me ahogo en un mar de llanto,1 star
546,"“Querida depresión, pensé que me había ya librado de ti.” - (via bohemiaparisina) EXTERNAL_LINK",1 star
547,Las ganas de matarme nunca se fueron.,5 stars
548,Aveces solo quiero llorar y no despertar.,5 stars
549,Ya no se que es sentirse bien ni un segundo.,2 stars
550,Estoy deprimida y aunque me mediquen todo sigue igual.,2 stars
551,Yo solo quiero dormir y dejar de respirar ¿Es mucho pedir esom,1 star
552,Solo tengo ganas de morir,1 star
553,"No quiero caer internada de nuevo, pero necesito cortarme.",3 stars
554,"Mucha gente me trata como basura, peroo deje me decirles que me lo merezco.",3 stars
555,"Hace tanto que no me sentía tan mal! Hace 9 noches ya que no dejo de llorar, todo esto me está matando.",1 star
556,Soy un puto desastre otra vez.,1 star
557,Hacia mucho que no lloraba tanto,2 stars
558,"Me gustaría poder arrancarme la cabeza un rato,creo que sería la única forma de dejar de pensar",3 stars
559,"PORQUE NO ME MUERO Y LISTO,MÁS FÁCIL",2 stars
560,Que sola me siento la concha de la lora no paro de llorar me quiero ir,1 star
561,Literal creo q tengo depresión,1 star
562,Las ganas de morirme se acrecientan junto con el calor,4 stars
563,Creo que ahora si toque fondo,3 stars
564,"Quisiera no sentirme tan nada aveces,pero estoy empezando a pensar que es de nacimiento,porque nunca puedo",2 stars
565,Necesito irme y no volver por favor,1 star
566,"Ojalá me muera de la forma más boluda que pueda,y rápido",2 stars
567,"Mami,Papi,un psicólogo/desconocido no me va a sacar las ganas de morirme,si no lo hice todavía fue por ustedes.  Att,yo",1 star
568,"Siempre cruzo la calle sin fijarme, con la esperanza de que  me atropellen.",5 stars
569,Todos hemos cruzado la calle con la esperanza de que nos atropelle un auto o moto. ¿No?,1 star
570,Andar solo no duele. Sentirse solo es otra cosa.,1 star
571,"Amo dormir porque no sueño, literal se siente como si estuviera muerta. #Nights",1 star
572,Dormir se ha vuelto el mejor escape.,5 stars
573,Yo ando sola  porque nadie  se aguanta  a esta bola depresiva y triste.  Seriously 😔,1 star
574,Soy el resultado de 3 trastornos alimenticios y años de depresión. ¿ Pero saben? Eso sólo me ha hecho más fuerte.,2 stars
575,"No me siento  invisible. Por el contrario, dolorosamente visible pero complemente ignorada.",2 stars
576,Se siente una mierda no encajar en ningún lado.,1 star
577,Últimamente no me siento para nada bien y cada vez se suman más cosas.,2 stars
578,Tengo un cansancio físico y psicológico que no es normal,2 stars
579,"De verdad estoy volviendo a sentirme muy mal, ver que todo hago mal, sentir que estoy solo.",1 star
580,Me siento bastante.. solo.,3 stars
581,Estoy psicológicamente cansado de todo,1 star
582,"Que me importa si es viernes o lunes, me sale mal todo cualquier día de la semana ahre si",2 stars
583,Llega esta epoca del año que ya estoy cansado de todo,2 stars
584,"Como pretendo que alguien me quiera, si yo no me quiero ni un poco",5 stars
585,Se me está yendo un poquito (bastante) a la mierda la vida,2 stars
586,Se me estan haciendo eternas las noches de insomnio,1 star
587,"No me siento capas de vivir una vida que no podré controlar, unos sentimientos devastadores, una tristeza gigante,… EXTERNAL_LINK",1 star
588,"Lo intento y Lo intento y siempre vuelvo al comienzo .
No puedo con tanto. He llevado una carga durante mucho tiemp… EXTERNAL_LINK",5 stars
589,"Depresión : exceso de pasado
Decepción : exceso de presente 
Ansiedad  : exceso de futuro .",1 star
590,Sólo espero no estar perdiendo el tiempo ... Y entrando en otra depresión profunda .... Y larga que tal vez me coste la vida .,1 star
591,La gente debería entender que la baja autoestima no es solo cuestión de apariencia física...Qué también es sentirse… EXTERNAL_LINK,1 star
592,La peor compañía es nuestros pensamientos inseguros y depresivos.,1 star
593,"Estoy súper estresado 
Y fastidiado con todo y enojado con todo ... Quisiera irme lejos y jamás volver ..",5 stars
594,"Nunca logró sentirme bien feliz satisfecho conmigo mismo . Siempre termino fracasando en todo, doy mucha vergüenza ...",1 star
595,Vuelve esa sensación amarga de no estar bien contigo mismo de no encajar en ningún lado de querer desaparecer o simplemente no ser yo .,1 star
596,"Cada día me siento igual. 
Nada me sube el ánimo, todo es tan simple, todo es tan inalcanzable, me cuesta hacer cos… EXTERNAL_LINK",1 star
597,"La depresion, la ansiedad y los ataques de pánico; no son signos de debilidad.
Son signos de haber tratado de perma… EXTERNAL_LINK",5 stars
598,"Sólo quiero huir .
Cada vez se pone más dura la vida . Enserio te sientes ahogado sin aliento sin ganas sin nada. N… EXTERNAL_LINK",1 star
599,"Que asco estar así de mal Y no poder hacer nada para cambiarlo, ni tener a Nadie para que te haga sentir mejor.",1 star
600,"hoy mientras tenía un ataque de ansiedad mi madre me dijo ""deja de hacer el gilipollas"",

necesito irme de esta casa ya",1 star
601,No puedo más.,2 stars
602,a nadie le importaría si me suicido esta noche,1 star
603,"Todo se está volviendo a derrumbar, esos meses en los que conseguí levantar cabeza...
Es como si nunca hubiesen existido.",1 star
604,"tengo todo el brazo con cortes abiertos

sabía que el estar limpia no iba a durar mucho",2 stars
605,"Llevo muchísimos meses limpia, pero de verdad que no aguanto. Todo se me viene encima.",2 stars
606,05:28am. Sal de mi cabeza.,1 star
607,Tremendas ganas de tirarme por la ventana.,5 stars
608,Quiero que dejen de importarme las cosas y que mi ansiedad se vaya.,1 star
609,Saltar por la ventana. Saltar por la ventana. Saltar por la ventana. Saltar por la ventana. Saltar por la ventana. Saltar por la ventana.,1 star
610,te haces daño y a nadie le importa,1 star
611,estar pidiendo ayuda a gritos y que a todos les de igual...,1 star
612,Solo quiero que el dolor desaparezca.,1 star
613,Estoy rota.,1 star
614,El problema de vivir es no querer vivir.,1 star
615,"Tengo la facilidad de alejar a las personas, pero, no busco alejarlas.",3 stars
616,Algún día dejaré de llorar.,2 stars
617,"Me siento tan triste, melancólica, sin ganas de nada.",1 star
618,"A veces te cansas de intentar y fracasar tantas veces, al final todo deja de importar.",2 stars
619,Sufro de ansiedad + depresión + bipolaridad. Que combinación tan horrible.,1 star
620,Día de mierda.,5 stars
621,Si pudiera saber que esta pasando conmigo últimamente.,3 stars
622,"Tener ganas de dormir es lo mejor que se puede sentir cuando estás de bajón, cansado, o aburrido.",5 stars
623,"Sigo sin entender qué pasa.
Había estado teniendo malos días, pero a pesar de ello seguía siendo positivo. Pero aho… EXTERNAL_LINK",3 stars
624,"Porque llevaba mucho sin sentir realmente depresivo.
Y puedo decir me he vuelto a sentir en esa linea de la depresión.",5 stars
625,No he pensado al tal punto de volver a pensar en el suicidio. Pero si llego a caer de nuevo. No lo sé.,2 stars
626,De las pocas veces que siento que se me escapa el corazón son cuando tengo unos pqueños ataques de ansiedad. XD,1 star
627,"Ah, entiendo. Antes de mis cumpleaños suelo tener malos días y eso me hacen odiarlos.",1 star
628,"No le he dicho a nadie, pero estoy empezando a usar nuevamente pastillas para dormir.",5 stars
629,Creo que estoy volviendo a hacer una mierda depresiva sin razón alguna. No entiendo.,1 star
630,"Supongo que algo si es cierto. La mayoría del tiempo me echo la culpa de todo. Y cuando no tengo la culpa, no sé qu… EXTERNAL_LINK",1 star
631,"Estoy siendo un desastre últimamente, y ush, estoy harto",1 star
632,"A veces pasan años, viene por temporadas, no importa el momento si me va bien o mal, siempre está presente.",4 stars
633,"Después de estar por los suelos sin ganas de ya no querer nada con la vida, siempre hay algo de esperanza y vuelves… EXTERNAL_LINK",5 stars
634,"Me siento y me digo a mi mismo que estoy bien, tenemos que encontrar otra manera.",3 stars
635,Están viendo que se le olvidaron tomarse los antidepresivos al muchacho y me ponen canciones que me recuerdan a ella #AsiNoSePuede,5 stars
636,Encierro la depresión y la arrojo al mar en una botella y siempre regresa con las olas.,5 stars
637,Es el tercer día seguido que me despierto como a las 3 de la mañana y ya no me puedo dormir.,1 star
638,"Un símbolo que me hace recordar que un día fui débil, pero que es una marca que siempre está conmigo.
El símbolo de… EXTERNAL_LINK",5 stars
639,Ya son las 4 y sigo sin dormir #kastapasanda,5 stars
640,"Desde que mis papás saben que tengo depresión, aveces finjo tener recadias para no ir a lugares, que me lleven comida o que me compren cosas",1 star
641,"Sé que no soy perfecto. Me odio a mi mismo casi todo el tiempo. Pero cuando estoy contigo, no me odio. Me gusta estar contigo",3 stars
642,No dormí en toda la noche/madrugada ni hoy en todo el día tampoco.,1 star
643,"que se expresa a través de los ojos y sale en forma de lágrimas. Caer en ese patético estado otra vez, ese es mi mayor miedo.",1 star
644,"Mi mayor miedo es sentir esa presión en el pecho y ese nudo en la garganta, esa sensación inconsolable de tristeza.",1 star
645,"Un mal día, una mala semana, una mala vida.",1 star
646,"Con tantos pensamientos de mierda, debería de escribir un libro. Alguien en este mundo debe coincidir con mi forma de pensar.",1 star
647,Soy una persona dañada.,1 star
648,"En realidad, no me pasan cosas buenas en la vida. Simplemente pasan cosas y ya.",2 stars
649,"No exagero. Si me duele, me duele. Solo yo siento mi propio dolor.",3 stars
650,"Quisiera hacer tantas cosas, pero sé que no sirvo para nada. Soy inútil pues.",1 star
651,"A veces no encuentro la palabra para definir mi estado de animo, porque cambia rápido puedo estar sonriendo y al rato tirado en la cama.",3 stars
652,"Estoy cansado, mas allá de lo físico también sentimentalmente, ya no aguanto más de encontrarme todo el tiempo mal.",2 stars
653,Esa horrible sensación de querer escapar sin saber a dónde.,1 star
654,No se que hacer con mi vida,1 star
655,A veces tengo ganas de desaparecer por un tiempo y olvidarme de todo.,3 stars
656,"Nunca les paso que se empiezan a sentir triste de la nada, y sentis un vacío dentro tuyo que no sabes cómo llenar y… EXTERNAL_LINK",1 star
657,Sufro muchísimo de inestabilidad emocional. Estoy 5 minutos bien y al rato no tengo ganas de seguir viviendo.,1 star
658,"Es increíble el estrés que te hace tener la rutina, yo término agobiado y deprimido a final del día por saber que m… EXTERNAL_LINK",5 stars
659,"Odio esos bajones existenciales que tengo cada cierto tiempo, de preguntarme tantas veces que carajo haré con mi vi… EXTERNAL_LINK",1 star
660,Ya se me hizo costumbre sentirme sólo todo el tiempo,5 stars
661,Hay bajones que nunca nadie va a poder entenderte.,1 star
662,No puede ser que llore por TODO.,2 stars
663,Hace muchisimo no lloraba tanto,2 stars
664,"No entiendo por qué lloro por todo,tan pelotuda voy a ser?????",1 star
665,Me siento tan vacía.,2 stars
666,Tengo una angustia horrible hace días,1 star
667,Estoy cansada de todo esto.,1 star
668,No puede ser que me bajonee asi de un segundo a otro,2 stars
669,Y volvemos a lo de llorar todas las noches...,5 stars
670,Siempre se termina volviendo al pozo depresivo,1 star
671,Nadie merece vivir odiando su propia existencia,1 star
672,Cada año es peor que el anterior y yo no se cuanto más voy a aguantar.,2 stars
673,Acabo de estallar como no había estallado antes.,1 star
674,Estoy echando mi vida a perder por culpa del caos que tengo en mi cabeza.,5 stars
675,"Tambien hace dos semanas que casi no como, llevo dos meses con depresión, estoy en una relación tóxica y no tengo amigos.",1 star
676,No tengo ni ganas de salir de la cama.,1 star
677,Quiero morirme de una puta vez porque se que mi vida va a ser siempre la misma mierda.,1 star
678,"Estoy volviendo a ser la misma chica depresiva, pesimista e insegura que era antes.",1 star
679,"Me siento triste, sola y perdida todo el tiempo.",1 star
680,"Siento que estoy mal otra vez, pero estoy demasiado cansada para que me importe...",2 stars
681,Soy un fracaso y todo el mundo sufre por mi culpa. Sería mejor que me fuese y me dejase morir en alguna esquina.,1 star
682,Llevo llorando sin poder parar desde que me he levantado y mi madre no me ha preguntado ni qué me pasa. Esto es muy… EXTERNAL_LINK,5 stars
683,Tengo curiosidad sobre cual es la mejor forma de suicidarse.,3 stars
684,No quiero molestar a la gente con mis mierdas porque todos tienen sus cosas y cada uno debería encargarse de lo suy… EXTERNAL_LINK,5 stars
685,Cuantas ganas de morirme.,1 star
686,"Todo lo que hago, lo hago mal.",5 stars
687,¿No os pasa que a veces os asustáis de vuestros propios pensamientos?,2 stars
688,Otra vez solo a tener ganas de dormir y no poder hacerlo.,1 star
689,Tengo miedo de mi misma.,2 stars
690,Lo que me jode es que no soy feliz o estoy mal. Son baches que me pillan por sorpresa. A veces estoy muy en la mier… EXTERNAL_LINK,2 stars
691,Cada día más ganas de suicidarme y acabar con todo. Les haría un favor a todos.,5 stars
692,Quién hubiese pensado que llegaría a ser tan fracasada.,1 star
693,Las ganas de morirme regresan día con día.,5 stars
694,Tengo ganas de llorar y pegarme en la cabeza.,1 star
695,"Tengo una opresión en el pecho, tan grande, que podría llorar una semana entera.",2 stars
696,Estoy al borde de otra crisis jujuju.,1 star
697,"He perdido el rumbo, incluso de mis propios pensamientos.",1 star
698,Me rompí.,2 stars
699,Ya me quiero moriiiirrrrr.,1 star
700,"No sé qué está más de la verga, mi salud o mi estabilidad emocional.",3 stars
701,"De veras, siento que no voy a poder.",2 stars
702,He pasado de no dormir nada cuando estoy mal a estar todo el tiempo dormida,1 star
703,"Creo que va siendo hora de ir a dormir, a ver si con suerte no me despierto",3 stars
704,"Me acaba de dar un bajón muy fuerte, llevo una hora llorando y no puedo parar, ya no sé que hacer",5 stars
705,"Estoy cansada, como si me faltará energía pero no tengo sueño.",2 stars
706,Me esta dando un ataque de ansiedad en mitad de clase y no puedo controlarlo,1 star
707,"Gorda. Doy asco, me he vuelto a exceder. Soy una inútil, ni en eso tengo el control",1 star
708,"Pensaba que estaba mejor de mi depresión pero en realidad sólo me engaño a mi misma, en realidad sé que sigo igual de mal que siempre",2 stars
709,Y aqui estoy comiendome la cabeza en lugar de dormir,5 stars
710,Tengo ganas de dejarlo todo y no salir de mi habitación más.,1 star
711,Me va a estallar la cabeza,1 star
712,Cuando estoy bien recuerdo mi depresión como un chiste pero siempre vuelve para hacerme decaer de la peor manera,2 stars
713,Me la he pasado todas las noche más recibiendo de todo estando tan mal llorando sin saber por qué me he vuelto así… EXTERNAL_LINK,1 star
714,Como odio sentir la angustia y tristesa de nuevo 😔,5 stars
715,Me siento tan insegura tan incómoda tan un estorbo para cada persona que me rodea 😔,1 star
716,Me siento tan mal ahora 😔,1 star
717,Hacia bastante que no sentía tanta angustia y depresión junta 💔,2 stars
718,Hacia mucho que no me sentía jodidamente depresiva y sola ...,2 stars
719,Estoy en una tristeza profunda que llega a hacer que me quiera matar...,5 stars
720,Me quieren triste y lo logran 😔,5 stars
721,Me siento peor que ayer...,2 stars
722,no puedo parar de llorar,1 star
723,me diagnosticaron esquizofrenia y depresión bien ahi,3 stars
724,2 meses sin cortarme pero necesito volver a hacerlo,2 stars
725,las voces me dicen que lo haga,1 star
726,encima los cortes superficiales no me satisfacen necesito profundos que me duelan,2 stars
